model_name,parent_class_id,parent_id,parent_name,collection_id,collection_name,category_id,category_name,category_rank,child_id,child_name,band_id,timeslice_name,sample_name,_date,period_id,unit_id,unit_name,interval_id,phase_id,phase_name,Production (ton),year,hour,month
RPS_000_SPS_000,1,1,System,108,Emission,116,CO2,1,230,AB Carbon,1,All Periods,Mean,12/31/2023 12:00:00 AM,1,20,ton,1,1,LT Plan,58652982.9081212,2023,12,12
RPS_000_SPS_000,1,1,System,108,Emission,116,CO2,1,230,AB Carbon,1,All Periods,Mean,12/31/2024 12:00:00 AM,2,20,ton,2,1,LT Plan,30522024.2658181,2024,12,12
RPS_000_SPS_000,1,1,System,108,Emission,116,CO2,1,230,AB Carbon,1,All Periods,Mean,12/31/2025 12:00:00 AM,3,20,ton,3,1,LT Plan,18905957.4061822,2025,12,12
RPS_000_SPS_000,1,1,System,108,Emission,116,CO2,1,230,AB Carbon,1,All Periods,Mean,12/31/2026 12:00:00 AM,4,20,ton,4,1,LT Plan,19172101.3572183,2026,12,12
RPS_000_SPS_000,1,1,System,108,Emission,116,CO2,1,230,AB Carbon,1,All Periods,Mean,12/31/2027 12:00:00 AM,5,20,ton,5,1,LT Plan,18629370.4251295,2027,12,12
RPS_000_SPS_000,1,1,System,108,Emission,116,CO2,1,230,AB Carbon,1,All Periods,Mean,12/31/2028 12:00:00 AM,6,20,ton,6,1,LT Plan,18902551.3873372,2028,12,12
RPS_000_SPS_000,1,1,System,108,Emission,116,CO2,1,230,AB Carbon,1,All Periods,Mean,12/31/2029 12:00:00 AM,7,20,ton,7,1,LT Plan,19389182.5717232,2029,12,12
RPS_000_SPS_000,1,1,System,108,Emission,116,CO2,1,230,AB Carbon,1,All Periods,Mean,12/31/2030 12:00:00 AM,8,20,ton,8,1,LT Plan,19050921.2725857,2030,12,12
RPS_000_SPS_000,1,1,System,108,Emission,116,CO2,1,230,AB Carbon,1,All Periods,Mean,12/31/2031 12:00:00 AM,9,20,ton,9,1,LT Plan,19388540.5703005,2031,12,12
RPS_000_SPS_000,1,1,System,108,Emission,116,CO2,1,230,AB Carbon,1,All Periods,Mean,12/31/2032 12:00:00 AM,10,20,ton,10,1,LT Plan,19532148.511391,2032,12,12
RPS_000_SPS_000,1,1,System,108,Emission,116,CO2,1,230,AB Carbon,1,All Periods,Mean,12/31/2033 12:00:00 AM,11,20,ton,11,1,LT Plan,19779316.2509862,2033,12,12
RPS_000_SPS_000,1,1,System,108,Emission,116,CO2,1,230,AB Carbon,1,All Periods,Mean,12/31/2034 12:00:00 AM,12,20,ton,12,1,LT Plan,20109070.7156198,2034,12,12
RPS_000_SPS_000,1,1,System,108,Emission,116,CO2,1,230,AB Carbon,1,All Periods,Mean,12/31/2035 12:00:00 AM,13,20,ton,13,1,LT Plan,20342830.0020421,2035,12,12
