Dim1,Dim2,Dim3,Val
Base Expansion,p1,2023,0
Base Expansion,p1,2024,0
Base Expansion,p1,2025,0
Base Expansion,p1,2026,0
Base Expansion,p1,2027,0
Base Expansion,p1,2028,0
Base Expansion,p1,2029,0
Base Expansion,p1,2030,0
Base Expansion,p1,2031,0
Base Expansion,p1,2032,0
Base Expansion,p1,2033,0
Base Expansion,p1,2034,0
Base Expansion,p1,2035,0
Base Expansion,p1,2036,0
Base Expansion,p1,2037,0
Base Expansion,p1,2038,0
Base Expansion,p1,2039,0
Base Expansion,p1,2040,0
Base Expansion,p1,2041,0
Base Expansion,p1,2042,0
Base Expansion,p1,2043,0
Base Expansion,p1,2044,0
Base Expansion,p1,2045,0
Base Expansion,p1,2046,0
Base Expansion,p1,2047,0
Base Expansion,p1,2048,0
Base Expansion,p1,2049,0
Base Expansion,p1,2050,0
Base Expansion,p1,2051,2400
Base Expansion,p1,2052,2400
Base Expansion,p1,2023,0
Base Expansion,p1,2024,0
Base Expansion,p1,2025,0
Base Expansion,p1,2026,0
Base Expansion,p1,2027,0
Base Expansion,p1,2028,0
Base Expansion,p1,2029,0
Base Expansion,p1,2030,0
Base Expansion,p1,2031,0
Base Expansion,p1,2032,0
Base Expansion,p1,2033,0
Base Expansion,p1,2034,0
Base Expansion,p1,2035,0
Base Expansion,p1,2036,0
Base Expansion,p1,2037,0
Base Expansion,p1,2038,0
Base Expansion,p1,2039,0
Base Expansion,p1,2040,0
Base Expansion,p1,2041,0
Base Expansion,p1,2042,0
Base Expansion,p1,2043,0
Base Expansion,p1,2044,0
Base Expansion,p1,2045,0
Base Expansion,p1,2046,0
Base Expansion,p1,2047,0
Base Expansion,p1,2048,0
Base Expansion,p1,2049,0
Base Expansion,p1,2050,0
Base Expansion,p1,2051,0
Base Expansion,p1,2052,0
