Dim1,Dim2,Dim3,Val
PV_SUN,p1,2023,57.25467500001
PV_SUN,p1,2024,54.54885000008
PV_SUN,p1,2025,54.661339302
PV_SUN,p1,2026,54.00110000003
PV_SUN,p1,2027,51.81919900188
PV_SUN,p1,2028,52.40262499998
PV_SUN,p1,2029,54.07575000002
PV_SUN,p1,2030,53.80275000001
PV_SUN,p1,2031,57.66712500007
PV_SUN,p1,2032,54.03580000007
PV_SUN,p1,2033,57.25642499998
PV_SUN,p1,2034,57.03607499998
PV_SUN,p1,2035,57.10347499997
PV_SUN,p1,2036,57.41705631031
PV_SUN,p1,2037,56.72142500003
PV_SUN,p1,2038,57.37164999998
PV_SUN,p1,2039,57.23702499985
PV_SUN,p1,2040,57.23899999997
PV_SUN,p1,2041,57.66085000011
PV_SUN,p1,2042,57.54865000007
PV_SUN,p1,2043,57.47269999998
PV_SUN,p1,2044,57.27142500005
PV_SUN,p1,2045,57.25467500002
PV_SUN,p1,2046,57.41275000007
PV_SUN,p1,2047,57.72087500008
PV_SUN,p1,2048,55.45417499996
PV_SUN,p1,2049,55.41272500001
PV_SUN,p1,2050,55.29049999978
PV_SUN,p1,2051,57.25467499985
PV_SUN,p1,2052,57.848175
PV_SUN,p1,2023,54.96448799995
PV_SUN,p1,2024,52.366896
PV_SUN,p1,2025,52.38021600007
PV_SUN,p1,2026,52.48343999998
PV_SUN,p1,2027,49.27068000003
PV_SUN,p1,2028,50.42611199998
PV_SUN,p1,2029,51.82972800006
PV_SUN,p1,2030,52.07140799999
PV_SUN,p1,2031,55.36043999996
PV_SUN,p1,2032,53.4993447663
PV_SUN,p1,2033,54.96616799987
PV_SUN,p1,2034,54.8376240001
PV_SUN,p1,2035,54.62102399999
PV_SUN,p1,2036,55.01659199998
PV_SUN,p1,2037,55.17823199997
PV_SUN,p1,2038,55.07678400005
PV_SUN,p1,2039,54.8406959999
PV_SUN,p1,2040,54.84974399999
PV_SUN,p1,2041,55.35441599994
PV_SUN,p1,2042,55.24670400001
PV_SUN,p1,2043,55.17379199998
PV_SUN,p1,2044,54.9619440000301
PV_SUN,p1,2045,54.96448799997
PV_SUN,p1,2046,54.9953519999699
PV_SUN,p1,2047,55.43090399997
PV_SUN,p1,2048,53.47792800002
PV_SUN,p1,2049,52.39295999992
PV_SUN,p1,2050,53.07888000006
PV_SUN,p1,2051,54.96448800004
PV_SUN,p1,2052,55.53424800006
PV_SUN,p1,2023,50.38411399999
PV_SUN,p1,2024,48.19667023689
PV_SUN,p1,2025,48.10238400001
PV_SUN,p1,2026,47.95177200006
PV_SUN,p1,2027,46.92043400001
PV_SUN,p1,2028,45.99801799999
PV_SUN,p1,2029,47.58665999995
PV_SUN,p1,2030,47.27034400006
PV_SUN,p1,2031,50.7442122216
PV_SUN,p1,2032,49.5755699999601
PV_SUN,p1,2033,50.38565400001
PV_SUN,p1,2034,50.26782199994
PV_SUN,p1,2035,50.37260800003
PV_SUN,p1,2036,50.59229726253
PV_SUN,p1,2037,50.16340999988
PV_SUN,p1,2038,50.36125600002
PV_SUN,p1,2039,50.27063800005
PV_SUN,p1,2040,50.26436799997
PV_SUN,p1,2041,50.72447600002
PV_SUN,p1,2042,50.64281199999
PV_SUN,p1,2043,50.03193800009
PV_SUN,p1,2044,50.4165640001
PV_SUN,p1,2045,50.34933199998
PV_SUN,p1,2046,50.36693200003
PV_SUN,p1,2047,50.8116620001
PV_SUN,p1,2048,49.02143400002
PV_SUN,p1,2049,49.79728576276
PV_SUN,p1,2050,48.6556400001501
PV_SUN,p1,2051,50.3841140000099
PV_SUN,p1,2052,50.90639400005
PV_SUN,p1,2023,22.90186999996
PV_SUN,p1,2024,21.81953999993
PV_SUN,p1,2025,21.73587000004
PV_SUN,p1,2026,21.83929999996
PV_SUN,p1,2027,21.0534611956
PV_SUN,p1,2028,21.39545999992
PV_SUN,p1,2029,21.50676000004
PV_SUN,p1,2030,21.48651999994
PV_SUN,p1,2031,23.06685000001
PV_SUN,p1,2032,22.53435000005
PV_SUN,p1,2033,22.90256999999
PV_SUN,p1,2034,22.74595999996
PV_SUN,p1,2035,22.87596999994
PV_SUN,p1,2036,22.8193
PV_SUN,p1,2037,22.92098999996
PV_SUN,p1,2038,22.93683215568
PV_SUN,p1,2039,22.85029
PV_SUN,p1,2040,22.98182349206
PV_SUN,p1,2041,22.92813000005
PV_SUN,p1,2042,23.01946000001
PV_SUN,p1,2043,22.97326999994
PV_SUN,p1,2044,22.95308999994
PV_SUN,p1,2045,22.88606000003
PV_SUN,p1,2046,22.9648801112
PV_SUN,p1,2047,23.08834999991
PV_SUN,p1,2048,23.06535000012
PV_SUN,p1,2049,21.7851600001
PV_SUN,p1,2050,21.7899200001
PV_SUN,p1,2051,22.90187000003
PV_SUN,p1,2052,23.13926999987
PV_SUN,p1,2023,297.72430999999
PV_SUN,p1,2024,282.67849999994
PV_SUN,p1,2025,282.05112000003
PV_SUN,p1,2026,284.28530000002
PV_SUN,p1,2027,279.86685999998
PV_SUN,p1,2028,280.56561000005
PV_SUN,p1,2029,281.55738000001
PV_SUN,p1,2030,279.95461000005
PV_SUN,p1,2031,299.2988699999
PV_SUN,p1,2032,297.84105
PV_SUN,p1,2033,297.73341000001
PV_SUN,p1,2034,296.58759000002
PV_SUN,p1,2035,297.03284
PV_SUN,p1,2036,298.00653999994
PV_SUN,p1,2037,296.32550999994
PV_SUN,p1,2038,298.33257999998
PV_SUN,p1,2039,297.05376999993
PV_SUN,p1,2040,298.90548999998
PV_SUN,p1,2041,300.1585451264
PV_SUN,p1,2042,299.76816999999
PV_SUN,p1,2043,298.85804000001
PV_SUN,p1,2044,298.59569999995
PV_SUN,p1,2045,297.51878000003
PV_SUN,p1,2046,298.85855999994
PV_SUN,p1,2047,300.24942999995
PV_SUN,p1,2048,289.67211000001
PV_SUN,p1,2049,288.24881701596
PV_SUN,p1,2050,283.26896000004
PV_SUN,p1,2051,297.72431000003
PV_SUN,p1,2052,300.81051000003
PV_SUN,p1,2023,36.64299199993
PV_SUN,p1,2024,34.84785599997
PV_SUN,p1,2025,34.92014399998
PV_SUN,p1,2026,34.98896000011
PV_SUN,p1,2027,33.7239359999
PV_SUN,p1,2028,33.39777599998
PV_SUN,p1,2029,34.55315200009
PV_SUN,p1,2030,34.45595200006
PV_SUN,p1,2031,36.85163199992
PV_SUN,p1,2032,35.96347199999
PV_SUN,p1,2033,36.64411199994
PV_SUN,p1,2034,36.55841600007
PV_SUN,p1,2035,36.38094400004
PV_SUN,p1,2036,36.73305599999
PV_SUN,p1,2037,36.84926404543
PV_SUN,p1,2038,36.70620799996
PV_SUN,p1,2039,36.56046399994
PV_SUN,p1,2040,36.83848000004
PV_SUN,p1,2041,36.89052800001
PV_SUN,p1,2042,36.8311359998601
PV_SUN,p1,2043,36.78252799998
PV_SUN,p1,2044,36.75021470984
PV_SUN,p1,2045,36.61769599992
PV_SUN,p1,2046,36.64363200009
PV_SUN,p1,2047,36.95388714688
PV_SUN,p1,2048,36.43046864562
PV_SUN,p1,2049,34.92863999993
PV_SUN,p1,2050,36.1088159999
PV_SUN,p1,2051,36.64299199997
PV_SUN,p1,2052,37.02213959299
PV_SUN,p1,2023,50.38411399999
PV_SUN,p1,2024,47.83789999987
PV_SUN,p1,2025,48.10194768483
PV_SUN,p1,2026,48.04646000006
PV_SUN,p1,2027,47.45100800001
