"Dim1","Dim2","Dim3","Val"
"battery_2","p1","2016",4
"battery_2","p1","2018",6.2
"battery_2","p1","2020",6.2
"battery_2","p1","2022",7.2
"battery_2","p1","2024",7.2
"battery_2","p1","2026",7.2
"battery_2","p1","2028",7.2
"battery_2","p1","2030",7.2
"battery_2","p1","2032",3.2
"battery_2","p1","2034",1
"battery_2","p1","2036",1
"battery_2","p3","2014",2.4
"battery_2","p3","2016",2.4
"battery_2","p3","2018",2.4
"battery_2","p3","2020",2.4
"battery_2","p3","2022",2.4
"battery_2","p3","2024",2.4
"battery_2","p3","2026",2.4
"battery_2","p3","2028",2.4
"battery_2","p4","2036",13.015625
"battery_2","p4","2038",13.015625
"battery_2","p4","2040",13.0357126438543
"battery_2","p4","2042",13.0357126438543
"battery_2","p4","2044",13.0357126438543
"battery_2","p4","2046",13.0357126438543
"battery_2","p4","2048",13.0357126438543
"battery_2","p4","2050",13.0357126438543
"battery_2","p5","2014",5
"battery_2","p5","2016",5
"battery_2","p5","2018",5
"battery_2","p5","2020",5
"battery_2","p5","2022",5
"battery_2","p5","2024",5
"battery_2","p5","2026",5
"battery_2","p5","2028",5
"battery_2","p5","2040",96.8249015639791
"battery_2","p5","2042",96.8249015639791
"battery_2","p5","2044",96.8249015639791
"battery_2","p5","2046",96.8249015639791
"battery_2","p5","2048",96.8249015639791
"battery_2","p5","2050",96.8249015639791
"battery_2","p6","2022",1.25
"battery_2","p6","2024",1.25
"battery_2","p6","2026",1.25
"battery_2","p6","2028",1.25
"battery_2","p6","2030",1.25
"battery_2","p6","2032",1.25
"battery_2","p6","2034",1.25
"battery_2","p6","2036",3.07066237642922
"battery_2","p6","2038",1.82066237642922
"battery_2","p6","2040",2.86011357634695
"battery_2","p6","2042",3.69946964357604
"battery_2","p6","2044",3.69946964357604
"battery_2","p6","2046",3.69946964357604
"battery_2","p6","2048",3.69946964357604
"battery_2","p6","2050",3.69946964357604
"battery_2","p8","2036",0.594984859673924
"battery_2","p8","2038",0.594984859673924
"battery_2","p8","2040",0.594984859673924
"battery_2","p8","2042",0.594984859673924
"battery_2","p8","2044",0.594984859673924
"battery_2","p8","2046",0.594984859673924
"battery_2","p8","2048",0.594984859673924
"battery_2","p8","2050",0.594984859673924
"battery_2","p9","2024",113.072334864217
"battery_2","p9","2026",116.231765444721
"battery_2","p9","2028",116.231765444721
"battery_2","p9","2030",309.708536559092
"battery_2","p9","2032",1598.24227977953
"battery_2","p9","2034",1598.24227977953
"battery_2","p9","2036",1598.24227977953
"battery_2","p9","2038",1764.7337563101
"battery_2","p9","2040",2420.25329344238
"battery_2","p9","2042",2417.09386286188
"battery_2","p9","2044",2417.09386286188
"battery_2","p9","2046",2551.91598032687
"battery_2","p9","2048",2915.99971015981
"battery_2","p9","2050",2915.99971015981
"battery_2","p10","2024",384.435488404994
"battery_2","p10","2026",392.251697133222
"battery_2","p10","2028",392.251697133222
"battery_2","p10","2030",398.964926018851
"battery_2","p10","2032",692.766139067717
"battery_2","p10","2034",692.766139067717
"battery_2","p10","2036",692.766139067717
"battery_2","p10","2038",692.766139067717
"battery_2","p10","2040",1221.79740421239
"battery_2","p10","2042",1213.98119548416
"battery_2","p10","2044",2405.6448311051
"battery_2","p10","2046",2771.43271364012
"battery_2","p10","2048",3874.62497359808
"battery_2","p10","2050",4650.45967856724
"battery_2","p11","2024",4.04217673078915
"battery_2","p11","2026",494.716537422057
"battery_2","p11","2028",494.716537422057
"battery_2","p11","2030",494.716537422057
"battery_2","p11","2032",517.111581152757
"battery_2","p11","2034",517.111581152757
"battery_2","p11","2036",517.111581152757
"battery_2","p11","2038",645.463528947715
"battery_2","p11","2040",668.559302345233
"battery_2","p11","2042",177.884941653966
"battery_2","p11","2044",284.931306033019
"battery_2","p11","2046",284.931306033019
"battery_2","p11","2048",262.536262302318
"battery_2","p11","2050",262.536262302318
"battery_2","p12","2022",100
"battery_2","p12","2024",100
"battery_2","p12","2026",100
"battery_2","p12","2028",100
"battery_2","p12","2030",100
"battery_2","p12","2032",100
"battery_2","p12","2034",100
"battery_2","p12","2036",100
"battery_2","p12","2044",262.673562598132
"battery_2","p12","2046",663.108919882668
"battery_2","p12","2048",1108.66928640371
"battery_2","p12","2050",1108.66928640371
"battery_2","p13","2022",100
"battery_2","p13","2024",100
"battery_2","p13","2026",100
"battery_2","p13","2028",100
"battery_2","p13","2030",100
"battery_2","p13","2032",100
"battery_2","p13","2034",100
"battery_2","p13","2036",173.405633543035
"battery_2","p13","2038",73.4056335430355
"battery_2","p13","2040",73.4056335430355
"battery_2","p13","2042",272.736277475806
"battery_2","p13","2044",490.961876284907
"battery_2","p13","2046",490.961876284907
"battery_2","p13","2048",490.961876284907
"battery_2","p13","2050",692.211876284907
"battery_2","p18","2022",200
"battery_2","p18","2024",200
"battery_2","p18","2026",200
"battery_2","p18","2028",200
"battery_2","p18","2030",200
"battery_2","p18","2032",200
"battery_2","p18","2034",200
"battery_2","p18","2036",200
"battery_2","p21","2036",9.46309422086127
"battery_2","p21","2038",9.46309422086127
"battery_2","p21","2040",101.352881730924
"battery_2","p21","2042",101.352881730924
"battery_2","p21","2044",101.352881730924
"battery_2","p21","2046",101.352881730924
"battery_2","p21","2048",101.352881730924
"battery_2","p21","2050",101.352881730924
"battery_2","p22","2040",12.755772082186
"battery_2","p22","2042",12.755772082186
"battery_2","p22","2044",12.755772082186
"battery_2","p22","2046",12.755772082186
"battery_2","p22","2048",12.755772082186
"battery_2","p22","2050",12.755772082186
"battery_2","p23","2022",0.00354156197822078
"battery_2","p23","2024",0.00354156197822078
"battery_2","p23","2026",0.00354156197822078
"battery_2","p23","2028",0.00354156197822078
"battery_2","p23","2030",0.00354156197822078
"battery_2","p23","2032",0.00354156197822078
"battery_2","p23","2034",0.00354156197822078
"battery_2","p23","2036",0.00354156197822078
"battery_2","p23","2038",0.776775894148845
"battery_2","p23","2040",6.43332639248741
"battery_2","p23","2042",6.43332639248741
"battery_2","p23","2044",6.43332639248741
"battery_2","p23","2046",6.43332639248741
"battery_2","p23","2048",6.43332639248741
"battery_2","p23","2050",6.43332639248741
"battery_2","p24","2036",38.1822125630701
"battery_2","p24","2038",38.1822125630701
"battery_2","p24","2040",38.1822125630701
"battery_2","p24","2042",38.1822125630701
"battery_2","p24","2044",38.1822125630701
"battery_2","p24","2046",38.1822125630701
"battery_2","p24","2048",38.1822125630701
"battery_2","p24","2050",38.1822125630701
"battery_2","p25","2044",19.9808385927745
"battery_2","p25","2046",21.1554813082309
"battery_2","p25","2048",175.095114787185
"battery_2","p25","2050",175.095114787185
"battery_2","p27","2034",125.5569
"battery_2","p27","2036",180.84499542317
"battery_2","p27","2038",180.84499542317
"battery_2","p27","2040",180.84499542317
"battery_2","p27","2042",262.60692042317
"battery_2","p27","2044",262.60692042317
"battery_2","p27","2046",262.60692042317
"battery_2","p27","2048",422.148916041083
"battery_2","p27","2050",401.991024519277
"battery_2","p28","2018",2
"battery_2","p28","2020",12
"battery_2","p28","2022",235
"battery_2","p28","2024",235
"battery_2","p28","2026",235
"battery_2","p28","2028",235
"battery_2","p28","2030",235
"battery_2","p28","2032",258.969884466662
"battery_2","p28","2034",335.007897419057
"battery_2","p28","2036",586.233674183954
"battery_2","p28","2038",511.978384904705
"battery_2","p28","2040",511.978384904705
"battery_2","p28","2042",520.602659079604
"battery_2","p28","2044",520.602659079604
"battery_2","p28","2046",520.602659079604
"battery_2","p28","2048",691.40723743305
"battery_2","p28","2050",613.369224480655
"battery_2","p29","2032",3.24762112951343
"battery_2","p29","2034",37.4077971460852
"battery_2","p29","2036",131.487882682975
"battery_2","p29","2038",140.191837630054
"battery_2","p29","2040",140.191837630054
"battery_2","p29","2042",150.442899532113
"battery_2","p29","2044",150.442899532113
"battery_2","p29","2046",150.442899532113
"battery_2","p29","2048",147.195278402599
"battery_2","p29","2050",114.324159262957
"battery_2","p30","2018",10
"battery_2","p30","2020",10
"battery_2","p30","2022",10
"battery_2","p30","2024",10
"battery_2","p30","2026",10
"battery_2","p30","2028",10
"battery_2","p30","2030",10
"battery_2","p30","2032",12.103325
"battery_2","p30","2034",2.103325
"battery_2","p30","2036",95.5378219593508
"battery_2","p30","2038",95.5378219593508
"battery_2","p30","2040",95.5378219593508
"battery_2","p30","2042",355.344548324321
"battery_2","p30","2044",355.344548324321
"battery_2","p30","2046",355.344548324321
"battery_2","p30","2048",353.241223324321
"battery_2","p30","2050",663.093157969198
"battery_2","p31","2012",1.8
"battery_2","p31","2014",1.8
"battery_2","p31","2016",1.8
"battery_2","p31","2018",2.8
"battery_2","p31","2020",2.8
"battery_2","p31","2022",2.8
"battery_2","p31","2024",2.8
"battery_2","p31","2026",2.8
"battery_2","p31","2028",1
"battery_2","p31","2030",1
"battery_2","p31","2032",1.84414685598468
"battery_2","p31","2034",127.227861059223
"battery_2","p31","2036",127.227861059223
"battery_2","p31","2038",127.227861059223
"battery_2","p31","2040",127.227861059223
"battery_2","p31","2042",127.227861059223
"battery_2","p31","2044",127.227861059223
"battery_2","p31","2046",127.227861059223
"battery_2","p31","2048",126.383714203238
"battery_2","p32","2036",12.9025827526219
"battery_2","p32","2038",12.9025827526219
"battery_2","p32","2040",12.9025827526219
"battery_2","p32","2042",12.9025827526219
"battery_2","p32","2044",12.9025827526219
"battery_2","p32","2046",12.9025827526219
"battery_2","p32","2048",12.9025827526219
"battery_2","p32","2050",12.9025827526219
"battery_2","p33","2018",4
"battery_2","p33","2020",4
"battery_2","p33","2022",4
"battery_2","p33","2024",4
"battery_2","p33","2026",4
"battery_2","p33","2028",4
"battery_2","p33","2030",55.1764584380218
"battery_2","p33","2032",124.703155985861
"battery_2","p33","2034",145.288030985861
"battery_2","p33","2036",196.904280985861
"battery_2","p33","2038",198.365005985861
"battery_2","p33","2040",198.365005985861
"battery_2","p33","2042",244.343442905931
"battery_2","p33","2044",244.343442905931
"battery_2","p33","2046",193.166984467909
"battery_2","p33","2048",123.64028692007
"battery_2","p33","2050",99.05541192007
"battery_2","p34","2034",30.9363218277956
"battery_2","p34","2036",34.1068218277956
"battery_2","p34","2038",36.2041968277957
"battery_2","p34","2040",64.2190117896758
"battery_2","p34","2042",317.064181317518
"battery_2","p34","2044",317.064181317518
"battery_2","p34","2046",317.064181317518
"battery_2","p34","2048",317.064181317518
"battery_2","p34","2050",286.127859489722
"battery_2","p59","2032",0.318325
"battery_2","p59","2034",0.318325
"battery_2","p59","2036",0.318325
"battery_2","p59","2038",0.318325
"battery_2","p59","2040",69.6793656499417
"battery_2","p59","2042",69.6793656499417
"battery_2","p59","2044",69.6793656499417
"battery_2","p59","2046",69.6793656499417
"battery_2","p59","2048",69.3610406499417
"battery_2","p59","2050",69.3610406499417
"battery_4","p1","2026",1.629191489732
"battery_4","p1","2028",1.629191489732
"battery_4","p1","2030",5.478841489732
"battery_4","p1","2032",11.775493930532
"battery_4","p1","2034",19.9471752447996
"battery_4","p1","2036",32.6891761575322
"battery_4","p1","2038",51.8632865146297
"battery_4","p1","2040",61.5910767158597
"battery_4","p1","2042",80.469083778435
"battery_4","p1","2044",90.5118971432173
"battery_4","p1","2046",96.0872889767957
"battery_4","p1","2048",99.4561921208989
"battery_4","p1","2050",99.0684910814653
"battery_4","p2","2024",7.36553187883923
"battery_4","p2","2026",7.36553187883923
"battery_4","p2","2028",7.36553187883923
"battery_4","p2","2030",8.02598187883923
"battery_4","p2","2032",11.1660321261124
"battery_4","p2","2034",11.1660321261124
"battery_4","p2","2036",11.1660321261124
"battery_4","p2","2038",13.7715876816679
"battery_4","p2","2040",26.2061683028287
"battery_4","p2","2042",27.1046183028287
"battery_4","p2","2044",27.1046183028287
"battery_4","p2","2046",26.4441683028287
"battery_4","p2","2048",23.3041180555555
"battery_4","p2","2050",23.3041180555555
"battery_4","p5","2026",0.2930375
"battery_4","p5","2028",0.4834375
"battery_4","p5","2030",151.034116897256
"battery_4","p5","2032",197.535188325828
"battery_4","p5","2034",217.475938646165
"battery_4","p5","2036",308.08881469605
"battery_4","p5","2038",377.436437681058
"battery_4","p5","2040",515.008748664858
"battery_4","p5","2042",630.997854953563
"battery_4","p5","2044",679.029232619631
"battery_4","p5","2046",736.410228222375
"battery_4","p5","2048",690.255520336649
"battery_4","p5","2050",994.051327362961
"battery_4","p6","2026",0.1948625
"battery_4","p6","2028",0.339423180216046
"battery_4","p6","2030",0.527043833248584
"battery_4","p6","2032",0.963686475354891
"battery_4","p6","2034",1.71758409264727
"battery_4","p6","2036",1.71758409264727
"battery_4","p6","2038",10.6988116443199
"battery_4","p6","2040",10.6988116443199
"battery_4","p6","2042",10.7076370433763
"battery_4","p6","2044",10.5630763631602
"battery_4","p6","2046",10.3754557101277
"battery_4","p6","2048",11.8548844965928
"battery_4","p6","2050",31.4597154188364
"battery_4","p7","2028",76.5137225976818
"battery_4","p7","2030",259.47685966045
"battery_4","p7","2032",263.833521890581
"battery_4","p7","2034",468.524495061732
"battery_4","p7","2036",969.737234369424
"battery_4","p7","2038",969.737234369424
"battery_4","p7","2040",1009.9
"battery_4","p7","2042",1009.9
"battery_4","p7","2044",933.386277402319
"battery_4","p7","2046",851.459882078206
"battery_4","p7","2048",883.042750481727
"battery_4","p7","2050",787.412003609581
"battery_4","p8","2030",121.671232987959
"battery_4","p8","2032",121.671232987959
"battery_4","p8","2034",121.671232987959
"battery_4","p8","2036",122.074416762692
"battery_4","p8","2038",122.074416762692
"battery_4","p8","2040",122.074416762692
"battery_4","p8","2042",193.975379140798
"battery_4","p8","2044",383.610081979407
"battery_4","p8","2046",554.021963247785
"battery_4","p8","2048",554.021963247785
"battery_4","p8","2050",554.021963247785
"battery_4","p9","2014",6
"battery_4","p9","2016",6
"battery_4","p9","2018",6
"battery_4","p9","2020",7
"battery_4","p9","2022",1072.8
"battery_4","p9","2024",1171.8
"battery_4","p9","2026",1171.80393889011
"battery_4","p9","2028",1231.13487192169
"battery_4","p9","2030",1808.32559866966
"battery_4","p9","2032",1808.32559866966
"battery_4","p9","2034",1829.36777366966
"battery_4","p9","2036",2270.88636268984
"battery_4","p9","2038",2948.69068371408
"battery_4","p9","2040",3273.68901727757
"battery_4","p9","2042",3273.68507838746
"battery_4","p9","2044",3214.35414535588
"battery_4","p9","2046",2631.16341860791
"battery_4","p9","2048",2652.82141860791
"battery_4","p9","2050",2631.77924360791
"battery_4","p10","2012",1
"battery_4","p10","2014",1
"battery_4","p10","2016",91.9
"battery_4","p10","2018",125.2
"battery_4","p10","2020",145.2
"battery_4","p10","2022",960
"battery_4","p10","2024",1346.19692113404
"battery_4","p10","2026",1346.19692113404
"battery_4","p10","2028",2887.58583445441
"battery_4","p10","2030",3032.24468270644
"battery_4","p10","2032",2941.34468270644
"battery_4","p10","2034",3297.75696368004
"battery_4","p10","2036",5697.6930356811
"battery_4","p10","2038",5559.5270024941
"battery_4","p10","2040",6067.70197331611
"battery_4","p10","2042",6091.36913328436
"battery_4","p10","2044",5832.43056819051
"battery_4","p10","2046",8018.37173274297
"battery_4","p10","2048",9773.43976361365
"battery_4","p10","2050",12507.8921996896
"battery_4","p11","2012",1
"battery_4","p11","2014",3
"battery_4","p11","2016",4
"battery_4","p11","2018",83.5
"battery_4","p11","2020",335.5
"battery_4","p11","2022",431.5
"battery_4","p11","2024",431.5
"battery_4","p11","2026",431.5
"battery_4","p11","2028",625.204293623899
"battery_4","p11","2030",624.819718623899
"battery_4","p11","2032",623.819718623899
"battery_4","p11","2034",831.0402626503
"battery_4","p11","2036",606.555601629054
"battery_4","p11","2038",510.555601629054
"battery_4","p11","2040",510.555601629054
"battery_4","p11","2042",511.890788328179
"battery_4","p11","2044",317.285286453606
"battery_4","p11","2046",338.776167038988
"battery_4","p11","2048",338.776167038988
"battery_4","p11","2050",114.433736707273
"battery_4","p12","2024",100
"battery_4","p12","2026",200
"battery_4","p12","2028",859.444767054325
"battery_4","p12","2030",1415.83024144911
"battery_4","p12","2032",1416.73421223401
"battery_4","p12","2034",1426.06574950253
"battery_4","p12","2036",1429.72280230046
"battery_4","p12","2038",1429.72280230046
"battery_4","p12","2040",1329.72280230046
"battery_4","p12","2042",1229.72280230046
"battery_4","p12","2044",808.340784125535
"battery_4","p12","2046",714.302130219733
"battery_4","p12","2048",713.398159434834
"battery_4","p12","2050",1624.25183647192
"battery_4","p13","2024",100
"battery_4","p13","2026",200
"battery_4","p13","2028",371.593771873771
"battery_4","p13","2030",924.029139044774
"battery_4","p13","2032",2061.54023349451
"battery_4","p13","2034",2624.47959917503
"battery_4","p13","2036",2852.02784728055
"battery_4","p13","2038",3528.11184998668
"battery_4","p13","2040",3650.53312704413
"battery_4","p13","2042",4341.11174949311
"battery_4","p13","2044",4980.65537993829
"battery_4","p13","2046",5229.53180026728
"battery_4","p13","2048",5164.54513709959
"battery_4","p13","2050",5257.26754536917
"battery_4","p14","2034",0.0473202345437712
"battery_4","p14","2036",0.0473202345437712
"battery_4","p14","2038",0.0473202345437712
"battery_4","p14","2040",0.0473202345437712
"battery_4","p14","2042",0.0473202345437712
"battery_4","p14","2044",0.0473202345437712
"battery_4","p14","2046",0.0473202345437712
"battery_4","p14","2048",0.0473202345437712
"battery_4","p19","2048",0.346749124367198
"battery_4","p19","2050",0.346749124367198
"battery_4","p20","2030",35.5104222303569
"battery_4","p20","2032",35.5104222303569
"battery_4","p20","2034",35.5104222303569
"battery_4","p20","2036",35.5104222303569
"battery_4","p20","2038",35.5104222303569
"battery_4","p20","2040",35.5104222303569
"battery_4","p20","2042",35.5104222303569
"battery_4","p20","2044",35.5104222303569
"battery_4","p21","2026",30.8926727888466
"battery_4","p21","2028",78.4332752570897
"battery_4","p21","2030",378.063782854306
"battery_4","p21","2032",427.957434025002
"battery_4","p21","2034",562.56883069389
"battery_4","p21","2036",611.131779141098
"battery_4","p21","2038",657.935962755276
"battery_4","p21","2040",732.867671378681
"battery_4","p21","2042",715.155188626876
"battery_4","p21","2044",751.848367420644
"battery_4","p21","2046",580.099722323428
"battery_4","p21","2048",564.961508652731
"battery_4","p21","2050",591.351111239227
"battery_4","p22","2028",5.93849499999999
"battery_4","p22","2030",25.32563
"battery_4","p22","2032",46.057285
"battery_4","p22","2034",68.195445
"battery_4","p22","2036",68.195445
"battery_4","p22","2038",68.195445
"battery_4","p22","2040",78.972902917814
"battery_4","p22","2042",78.972902917814
"battery_4","p22","2044",73.034407917814
"battery_4","p22","2046",53.647272917814
"battery_4","p22","2048",32.915617917814
"battery_4","p22","2050",10.777457917814
"battery_4","p23","2026",0.322288793359593
"battery_4","p23","2028",1.49459616914398
"battery_4","p23","2030",42.5720762303885
"battery_4","p23","2032",42.5720762303885
"battery_4","p23","2034",46.1398182946661
"battery_4","p23","2036",46.1398182946661
"battery_4","p23","2038",46.1398182946661
"battery_4","p23","2040",46.1398182946661
"battery_4","p23","2042",45.8175295013065
"battery_4","p23","2044",44.6452221255221
"battery_4","p23","2046",3.56774206427758
"battery_4","p23","2048",3.56774206427758
"battery_4","p24","2048",159.683411486795
"battery_4","p24","2050",159.683411486795
"battery_4","p25","2026",135.021011577175
"battery_4","p25","2028",657.375535626615
"battery_4","p25","2030",727.646944236141
"battery_4","p25","2032",729.91469959451
"battery_4","p25","2034",730.388570595435
"battery_4","p25","2036",766.615990153647
"battery_4","p25","2038",766.615990153647
"battery_4","p25","2040",809.199717549975
"battery_4","p25","2042",725.823632711088
"battery_4","p25","2044",203.469108661648
"battery_4","p25","2046",139.158147714281
"battery_4","p25","2048",555.843351210136
"battery_4","p25","2050",680.573251319853
"battery_4","p26","2022",0.087125
"battery_4","p26","2024",0.087125
"battery_4","p26","2026",2.51753098672635
"battery_4","p26","2028",2.94076217960292
"battery_4","p26","2030",4.91764967960292
"battery_4","p26","2032",40.0255576852388
"battery_4","p26","2034",40.0255576852388
"battery_4","p26","2036",40.0255576852388
"battery_4","p26","2038",39.9384326852388
"battery_4","p26","2040",41.051814253474
"battery_4","p26","2042",38.6214082667477
"battery_4","p26","2044",39.8190256575739
"battery_4","p26","2046",37.8826442849603
"battery_4","p26","2048",2.77473627932443
"battery_4","p26","2050",3.35568312374199
"battery_4","p27","2026",166.18235276998
"battery_4","p27","2028",216.796102072753
"battery_4","p27","2030",279.682895333532
"battery_4","p27","2032",374.510382217598
"battery_4","p27","2034",478.799957827063
"battery_4","p27","2036",478.799957827063
"battery_4","p27","2038",478.799957827063
"battery_4","p27","2040",558.250425885904
"battery_4","p27","2042",468.681024458379
"battery_4","p27","2044",492.562239500368
"battery_4","p27","2046",523.729958910689
"battery_4","p27","2048",484.187147605011
"battery_4","p27","2050",545.704184263328
"battery_4","p28","2026",382.824186121701
"battery_4","p28","2028",1869.85238045644
"battery_4","p28","2030",2090.65554372174
"battery_4","p28","2032",2090.65554372174
"battery_4","p28","2034",2294.50112575104
"battery_4","p28","2036",2294.50112575104
"battery_4","p28","2038",2294.50112575104
"battery_4","p28","2040",2304.89152116414
"battery_4","p28","2042",2674.82576045499
