Dim1,Dim2,Dim3,Dim4,Val
PV_SUN,257S Hull DER Solar,p1,2023,25.0
PV_SUN,257S Hull DER Solar,p1,2024,25.0
PV_SUN,257S Hull DER Solar,p1,2025,25.0
PV_SUN,257S Hull DER Solar,p1,2026,25.0
PV_SUN,257S Hull DER Solar,p1,2027,25.0
PV_SUN,257S Hull DER Solar,p1,2028,25.0
PV_SUN,257S Hull DER Solar,p1,2029,25.0
PV_SUN,257S Hull DER Solar,p1,2030,25.0
PV_SUN,257S Hull DER Solar,p1,2031,25.0
PV_SUN,257S Hull DER Solar,p1,2032,25.0
PV_SUN,257S Hull DER Solar,p1,2033,25.0
PV_SUN,257S Hull DER Solar,p1,2034,25.0
PV_SUN,257S Hull DER Solar,p1,2035,25.0
PV_SUN,257S Hull DER Solar,p1,2036,25.0
PV_SUN,257S Hull DER Solar,p1,2037,25.0
PV_SUN,257S Hull DER Solar,p1,2038,25.0
PV_SUN,257S Hull DER Solar,p1,2039,25.0
PV_SUN,257S Hull DER Solar,p1,2040,25.0
PV_SUN,257S Hull DER Solar,p1,2041,25.0
PV_SUN,257S Hull DER Solar,p1,2042,25.0
PV_SUN,257S Hull DER Solar,p1,2043,25.0
PV_SUN,257S Hull DER Solar,p1,2044,25.0
PV_SUN,257S Hull DER Solar,p1,2045,25.0
PV_SUN,257S Hull DER Solar,p1,2046,25.0
PV_SUN,257S Hull DER Solar,p1,2047,25.0
PV_SUN,257S Hull DER Solar,p1,2048,25.0
PV_SUN,257S Hull DER Solar,p1,2049,25.0
PV_SUN,257S Hull DER Solar,p1,2050,25.0
PV_SUN,257S Hull DER Solar,p1,2051,25.0
PV_SUN,257S Hull DER Solar,p1,2052,25.0
PV_SUN,421S Hays DG PV,p1,2023,24.0
PV_SUN,421S Hays DG PV,p1,2024,24.0
PV_SUN,421S Hays DG PV,p1,2025,24.0
PV_SUN,421S Hays DG PV,p1,2026,24.0
PV_SUN,421S Hays DG PV,p1,2027,24.0
PV_SUN,421S Hays DG PV,p1,2028,24.0
PV_SUN,421S Hays DG PV,p1,2029,24.0
PV_SUN,421S Hays DG PV,p1,2030,24.0
PV_SUN,421S Hays DG PV,p1,2031,24.0
PV_SUN,421S Hays DG PV,p1,2032,24.0
PV_SUN,421S Hays DG PV,p1,2033,24.0
PV_SUN,421S Hays DG PV,p1,2034,24.0
PV_SUN,421S Hays DG PV,p1,2035,24.0
PV_SUN,421S Hays DG PV,p1,2036,24.0
PV_SUN,421S Hays DG PV,p1,2037,24.0
PV_SUN,421S Hays DG PV,p1,2038,24.0
PV_SUN,421S Hays DG PV,p1,2039,24.0
PV_SUN,421S Hays DG PV,p1,2040,24.0
PV_SUN,421S Hays DG PV,p1,2041,24.0
PV_SUN,421S Hays DG PV,p1,2042,24.0
PV_SUN,421S Hays DG PV,p1,2043,24.0
PV_SUN,421S Hays DG PV,p1,2044,24.0
PV_SUN,421S Hays DG PV,p1,2045,24.0
PV_SUN,421S Hays DG PV,p1,2046,24.0
PV_SUN,421S Hays DG PV,p1,2047,24.0
PV_SUN,421S Hays DG PV,p1,2048,24.0
PV_SUN,421S Hays DG PV,p1,2049,24.0
PV_SUN,421S Hays DG PV,p1,2050,24.0
PV_SUN,421S Hays DG PV,p1,2051,24.0
PV_SUN,421S Hays DG PV,p1,2052,24.0
PV_SUN,895S Suffield DG PV,p1,2023,22.0
PV_SUN,895S Suffield DG PV,p1,2024,22.0
PV_SUN,895S Suffield DG PV,p1,2025,22.0
PV_SUN,895S Suffield DG PV,p1,2026,22.0
PV_SUN,895S Suffield DG PV,p1,2027,22.0
PV_SUN,895S Suffield DG PV,p1,2028,22.0
PV_SUN,895S Suffield DG PV,p1,2029,22.0
PV_SUN,895S Suffield DG PV,p1,2030,22.0
PV_SUN,895S Suffield DG PV,p1,2031,22.0
PV_SUN,895S Suffield DG PV,p1,2032,22.0
PV_SUN,895S Suffield DG PV,p1,2033,22.0
PV_SUN,895S Suffield DG PV,p1,2034,22.0
PV_SUN,895S Suffield DG PV,p1,2035,22.0
PV_SUN,895S Suffield DG PV,p1,2036,22.0
PV_SUN,895S Suffield DG PV,p1,2037,22.0
PV_SUN,895S Suffield DG PV,p1,2038,22.0
PV_SUN,895S Suffield DG PV,p1,2039,22.0
PV_SUN,895S Suffield DG PV,p1,2040,22.0
PV_SUN,895S Suffield DG PV,p1,2041,22.0
PV_SUN,895S Suffield DG PV,p1,2042,22.0
PV_SUN,895S Suffield DG PV,p1,2043,22.0
PV_SUN,895S Suffield DG PV,p1,2044,22.0
PV_SUN,895S Suffield DG PV,p1,2045,22.0
PV_SUN,895S Suffield DG PV,p1,2046,22.0
PV_SUN,895S Suffield DG PV,p1,2047,22.0
PV_SUN,895S Suffield DG PV,p1,2048,22.0
PV_SUN,895S Suffield DG PV,p1,2049,22.0
PV_SUN,895S Suffield DG PV,p1,2050,22.0
PV_SUN,895S Suffield DG PV,p1,2051,22.0
PV_SUN,895S Suffield DG PV,p1,2052,22.0
PV_SUN,Burdett 368S DG P/V,p1,2023,10.0
PV_SUN,Burdett 368S DG P/V,p1,2024,10.0
PV_SUN,Burdett 368S DG P/V,p1,2025,10.0
PV_SUN,Burdett 368S DG P/V,p1,2026,10.0
PV_SUN,Burdett 368S DG P/V,p1,2027,10.0
PV_SUN,Burdett 368S DG P/V,p1,2028,10.0
PV_SUN,Burdett 368S DG P/V,p1,2029,10.0
PV_SUN,Burdett 368S DG P/V,p1,2030,10.0
PV_SUN,Burdett 368S DG P/V,p1,2031,10.0
PV_SUN,Burdett 368S DG P/V,p1,2032,10.0
PV_SUN,Burdett 368S DG P/V,p1,2033,10.0
PV_SUN,Burdett 368S DG P/V,p1,2034,10.0
PV_SUN,Burdett 368S DG P/V,p1,2035,10.0
PV_SUN,Burdett 368S DG P/V,p1,2036,10.0
PV_SUN,Burdett 368S DG P/V,p1,2037,10.0
PV_SUN,Burdett 368S DG P/V,p1,2038,10.0
PV_SUN,Burdett 368S DG P/V,p1,2039,10.0
PV_SUN,Burdett 368S DG P/V,p1,2040,10.0
PV_SUN,Burdett 368S DG P/V,p1,2041,10.0
PV_SUN,Burdett 368S DG P/V,p1,2042,10.0
