object_id,property_id,phase_id,report_period,report_summary,report_statistics,report_samples,write_flat_files,state,filtered_report,collection_id,property_group_id,enum_id,name,summary_name,unit_id,summary_unit_id,is_period,is_summary,is_multi_band,is_quantity,is_LT,is_PA,is_MT,is_ST,lang_id,summary_lang_id,description,is_visible
496,1,1,True,True,False,False,False,,True,1,3,1,Units,Units,0,0,True,True,False,False,True,False,True,True,812,812,Number of installed units,True
496,2,1,True,True,False,False,False,,True,1,3,2,Generation,Generation,1,2,True,True,False,False,True,False,True,True,227,227,Generation,True
496,11,1,True,True,False,False,False,,True,1,3,11,Dispatchable Capacity,Dispatchable Capacity,1,2,True,True,False,False,True,False,True,True,149,149,Capacity of committed units between technical limits,True
496,12,1,True,True,False,False,False,,True,1,3,12,Undispatched Capacity,Undispatched Capacity,1,2,True,True,False,False,True,False,True,True,803,803,Capacity on-line but undispatched,True
496,27,1,True,True,False,False,False,,True,1,3,27,Capacity Factor,Capacity Factor,12,12,True,True,False,False,True,False,True,True,58,58,Proportion of installed or rated capacity generating,True
496,90,1,True,True,False,False,False,,True,1,3,90,Pump Load,Pump Load,1,2,True,True,False,False,True,False,True,True,642,642,Load drawn by a unit in pumping mode,True
496,109,1,True,True,False,False,False,,True,1,3,109,VO&M Charge,VO&M Charge,33,33,True,True,False,False,True,False,True,True,849,849,Variable operation and maintenance charge,True
496,110,1,True,True,False,False,False,,True,1,3,110,VO&M Cost,VO&M Cost,14,34,True,True,False,True,True,False,True,True,850,850,Total variable operation and maintenance cost,True
496,111,1,True,True,False,False,False,,True,1,3,111,FO&M Cost,FO&M Cost,14,34,True,True,False,True,True,False,True,True,216,216,Fixed operation and maintenance cost,True
496,131,1,True,True,False,False,False,,True,1,3,131,Fixed Costs,Fixed Costs,14,34,True,True,False,True,True,False,True,True,196,196,Total fixed costs including amortized build costs,True
496,137,1,True,True,False,False,False,,True,1,3,137,SRMC,SRMC,33,33,True,True,False,False,True,False,True,True,759,759,Short-run marginal cost (Fuel + VO&M + Emissions),True
496,151,1,True,True,False,False,False,,True,1,3,151,Price Received,Price Received,33,33,True,True,False,False,True,False,True,True,618,618,Price received for generation,True
496,163,1,True,True,False,False,False,,True,1,3,163,Pool Revenue,Pool Revenue,14,34,True,True,False,True,True,False,True,True,609,609,Pool revenue,True
496,167,1,True,True,False,False,False,,True,1,3,167,Net Revenue,Net Revenue,14,34,True,True,False,True,True,False,True,True,552,552,Net revenue,True
496,168,1,True,True,False,False,False,,True,1,3,168,Net Profit,Net Profit,14,34,True,True,False,True,True,False,True,True,548,548,Net profit = net revenue - fixed costs,True
496,212,1,True,True,False,False,False,,True,1,6,212,Max Capacity,Max Capacity,1,1,True,True,False,False,True,False,True,True,414,414,Maximum generating capacity of each unit,True
496,214,1,True,True,False,False,False,,True,1,6,214,Installed Capacity,Installed Capacity,1,1,True,True,False,False,True,True,True,True,320,320,Installed capacity (Max Capacity x Units),True
496,215,1,True,True,False,False,False,,True,1,6,215,Rating,Rating,1,1,True,True,False,False,True,False,True,True,665,665,Rated capacity of units,True
496,238,1,True,True,False,False,False,,True,1,8,238,Units Built,Units Built,0,0,True,True,False,False,True,False,False,False,813,813,Number of units built,True
496,239,1,True,True,False,False,False,,True,1,8,239,Units Retired,Units Retired,0,0,True,True,False,False,True,False,False,False,820,820,Number of units retired,True
496,240,1,True,True,False,False,False,,True,1,8,240,Capacity Built,Capacity Built,1,1,True,True,False,False,True,False,False,False,54,54,Capacity built (Max Capacity x Units Built),True
496,241,1,True,True,False,False,False,,True,1,8,241,Capacity Retired,Capacity Retired,1,1,True,True,False,False,True,False,False,False,66,66,Capacity retired (Max Capacity x Units Retired),True
496,245,1,True,True,False,False,False,,True,1,8,245,Build Cost,Build Cost,34,34,True,True,False,False,True,False,False,False,44,44,Cost of building a unit,True
496,516,1,True,True,False,False,False,,True,80,3,1,Units,Units,0,0,True,True,False,False,True,False,True,True,812,812,Number of BESS units installed,True
496,517,1,True,True,False,False,False,,True,80,3,2,Energy,Energy,3,3,True,True,False,False,True,False,True,True,173,173,Energy stored in the BESS,True
496,518,1,True,True,False,False,False,,True,80,3,3,SoC,SoC,12,12,True,True,False,False,True,False,True,True,1660,1660,State of Charge,True
496,519,1,True,True,False,False,False,,True,80,3,4,Available SoC,Available SoC,12,12,True,True,False,False,True,False,True,True,1661,1661, SoC less minimum SoC,True
496,520,1,True,True,False,False,False,,True,80,3,5,Generation,Generation,1,2,True,True,False,False,True,False,True,True,227,227,generation (battery discharge),True
496,521,1,True,True,False,False,False,,True,80,3,6,Load,Load,1,2,True,True,False,False,True,False,True,True,349,349,load (battery recharge),True
496,528,1,True,True,False,False,False,,True,80,3,13,Hours Charging,Hours Charging,6,6,True,True,False,False,True,False,True,True,1662,1662,Number of hours in charging state,True
496,529,1,True,True,False,False,False,,True,80,3,14,Hours Discharging,Hours Discharging,6,6,True,True,False,False,True,False,True,True,1663,1663,Number of hours in discharging state,True
496,530,1,True,True,False,False,False,,True,80,3,15,Hours Idle,Hours Idle,6,6,True,True,False,False,True,False,True,True,1664,1664,Number of hours in idle state,True
496,537,1,True,True,False,False,False,,True,80,3,22,VO&M Cost,VO&M Cost,14,34,True,True,False,True,True,False,True,True,850,850,Total variable operation and maintenance cost,True
496,538,1,True,True,False,False,False,,True,80,3,23,FO&M Cost,FO&M Cost,14,34,True,True,False,True,True,False,True,True,216,216,Fixed operations and maintenance cost,True
496,542,1,True,True,False,False,False,,True,80,3,27,Price Received,Price Received,33,33,True,True,False,False,True,False,True,True,618,618,Price received for generation,True
496,544,1,True,True,False,False,False,,True,80,3,29,Generation Revenue,Generation Revenue,14,34,True,True,False,True,True,False,True,True,238,238,Generation revenue,True
496,562,1,True,True,False,False,False,,True,80,3,47,Net Profit,Net Profit,14,34,True,True,False,True,True,False,True,True,548,548,Net profit,True
496,584,1,True,True,False,False,False,,True,80,6,69,Installed Capacity,Installed Capacity,3,3,True,True,False,False,True,True,True,True,320,320,Installed battery capacity,True
496,585,1,True,True,False,False,False,,True,80,6,70,Generation Capacity,Generation Capacity,1,1,True,True,False,False,True,True,True,True,229,229,Installed generation capacity,True
496,596,1,True,True,False,False,False,,True,80,8,81,Units Built,Units Built,0,0,True,True,False,False,True,False,False,False,813,813,Number of BESS units built in this year,True
496,597,1,True,True,False,False,False,,True,80,8,82,Capacity Built,Capacity Built,3,3,True,True,False,False,True,False,False,False,54,54,Battery capacity built,True
